Event Name,Module,Activity,Date,Start Time,Duration,Description
IOT554U-B25 Software Development Methods and Quality Assurance in Software Industry IOT554U-B25/Lecture Lecture,IOT554U,13,20/02/2026,09:30,01:30,
IOT554U-B25 Software Development Methods and Quality Assurance in Software Industry IOT554U-B25/Lab02/1 Lab,IOT554U,13,20/02/2026,14:00,01:30,
IOT554U-B25 Software Development Methods and Quality Assurance in Software Industry IOT554U-B25/Lab01/1 Lab,IOT554U,13,20/02/2026,11:30,01:30,
IOT554U-B25 Software Development Methods and Quality Assurance in Software Industry IOT554U-B25/Lecture Lecture,IOT554U,13,27/02/2026,09:30,01:30,
IOT554U-B25 Software Development Methods and Quality Assurance in Software Industry IOT554U-B25/Lab02/1 Lab,IOT554U,13,27/02/2026,14:00,01:30,
IOT554U-B25 Software Development Methods and Quality Assurance in Software Industry IOT554U-B25/Lab01/1 Lab,IOT554U,13,27/02/2026,11:30,01:30,
IOT552U-A25 Business Organisation and Decision Making IOT552U-B/Lecture Lecture and Seminar,IOT552U,13,27/02/2026,16:00,01:30,
IOT552U-A25 Business Organisation and Decision Making IOT552/A/Optional Online/01 Optional/Drop-in - Live Online,IOT552U,13,03/03/2026,11:00,01:00,
IOT554U-B25 Software Development Methods and Quality Assurance in Software Industry IOT554U-B/Sprint Week Lecture1 Lecture - Live Online,IOT554U,13,09/03/2026,09:30,02:00,
IOT554U-B25 Software Development Methods and Quality Assurance in Software Industry IOT554U-B/Sprint week Lab1 Lab,IOT554U,13,09/03/2026,11:30,02:00,
IOT554U-B25 Software Development Methods and Quality Assurance in Software Industry IOT554U-B/Sprint week Lab2 Lab,IOT554U,13,09/03/2026,14:30,02:30,
IOT554U-B25 Software Development Methods and Quality Assurance in Software Industry IOT554U-B/Sprint week Lecture2 Lecture,IOT554U,13,10/03/2026,09:30,01:30,
IOT554U-B25 Software Development Methods and Quality Assurance in Software Industry IOT554U-B/Sprint week Lab4 Lab,IOT554U,13,10/03/2026,14:00,03:30,
IOT554U-B25 Software Development Methods and Quality Assurance in Software Industry IOT554U-B/Sprint week Lab3 Lab,IOT554U,13,10/03/2026,11:00,02:00,
IOT552U-A25 Business Organisation and Decision Making IOT552U-B25/Workshop1 Lecture and Seminar,IOT552U,13,11/03/2026,09:30,03:30,
IOT552U-A25 Business Organisation and Decision Making IOT552U-B25/Workshop2 Workshop,IOT552U,13,12/03/2026,10:00,02:30,
IOT552U-A25 Business Organisation and Decision Making IOT552U-B25/Workshop3 Workshop,IOT552U,13,12/03/2026,14:00,03:00,
IOT552U-A25 Business Organisation and Decision Making IOT552U-B25/Workshop4 Lecture and Seminar,IOT552U,13,13/03/2026,09:30,03:30,
IOT554U-B25 Software Development Methods and Quality Assurance in Software Industry IOT554U-B25/Lab01/1 Lab,IOT554U,13,20/03/2026,11:30,01:30,
IOT554U-B25 Software Development Methods and Quality Assurance in Software Industry IOT554U-B25/Lecture Lecture,IOT554U,13,20/03/2026,09:30,01:30,
IOT554U-B25 Software Development Methods and Quality Assurance in Software Industry IOT554U-B25/Lab02/1 Lab,IOT554U,13,20/03/2026,14:00,01:30,
